edge_id,u,v,undirected_id,travel_time_min,cycle_time_h,priority
0,0,4,0,3.047,3.0,periphery
1,4,0,0,1.183,3.0,periphery
2,0,1,1,4.362,3.0,periphery
3,1,0,1,2.243,3.0,periphery
4,0,2,2,1.831,1.0,artery
5,2,0,2,4.702,1.0,artery
6,0,3,3,1.642,3.0,periphery
7,3,0,3,1.076,3.0,periphery
8,1,4,4,1.0,3.0,periphery
9,4,1,4,3.605,3.0,periphery
10,1,3,5,1.162,3.0,periphery
11,3,1,5,7.181,3.0,periphery
12,1,2,6,1.0,3.0,periphery
13,2,1,6,6.934,3.0,periphery
14,2,4,7,2.844,3.0,periphery
15,4,2,7,2.365,3.0,periphery
16,2,3,8,1.807,1.0,artery
17,3,2,8,3.184,1.0,artery
18,3,4,9,2.45,1.0,artery
19,4,3,9,4.858,1.0,artery
20,5,9,10,2.684,3.0,periphery
21,9,5,10,2.742,3.0,periphery
22,5,6,11,2.015,3.0,periphery
23,6,5,11,2.422,3.0,periphery
24,5,7,12,3.014,3.0,periphery
25,7,5,12,1.0,3.0,periphery
26,5,8,13,1.116,3.0,periphery
27,8,5,13,3.914,3.0,periphery
28,6,9,14,2.776,3.0,periphery
29,9,6,14,2.244,3.0,periphery
30,6,8,15,2.534,3.0,periphery
31,8,6,15,3.087,3.0,periphery
32,6,7,16,1.813,1.0,artery
33,7,6,16,1.571,1.0,artery
34,7,9,17,2.818,3.0,periphery
35,9,7,17,1.393,3.0,periphery
36,7,8,18,3.201,3.0,periphery
37,8,7,18,1.0,3.0,periphery
38,8,9,19,4.646,3.0,periphery
39,9,8,19,3.327,3.0,periphery
40,10,14,20,2.922,3.0,periphery
41,14,10,20,4.519,3.0,periphery
42,10,11,21,6.807,2.0,collector
43,11,10,21,4.605,2.0,collector
44,10,12,22,1.0,3.0,periphery
45,12,10,22,1.163,3.0,periphery
46,10,13,23,1.722,1.0,artery
47,13,10,23,2.545,1.0,artery
48,11,14,24,3.419,3.0,periphery
49,14,11,24,1.621,3.0,periphery
50,11,13,25,2.803,2.0,collector
51,13,11,25,1.593,2.0,collector
52,11,12,26,1.736,2.0,collector
53,12,11,26,1.077,2.0,collector
54,12,14,27,1.44,3.0,periphery
55,14,12,27,1.114,3.0,periphery
56,12,13,28,1.395,1.0,artery
57,13,12,28,4.715,1.0,artery
58,13,14,29,1.418,3.0,periphery
59,14,13,29,12.159,3.0,periphery
60,15,19,30,3.369,3.0,periphery
61,19,15,30,2.8,3.0,periphery
62,15,16,31,1.497,3.0,periphery
63,16,15,31,3.814,3.0,periphery
64,15,17,32,1.774,1.0,artery
65,17,15,32,2.696,1.0,artery
66,15,18,33,11.643,3.0,periphery
67,18,15,33,2.365,3.0,periphery
68,16,19,34,4.994,3.0,periphery
69,19,16,34,1.643,3.0,periphery
