node_id,in_degree,out_degree,degree_class
0,4,4,4
1,4,4,4
2,4,4,4
3,4,4,4
4,4,4,4
5,4,4,4
6,4,4,4
7,4,4,4
8,4,4,4
9,4,4,4
10,4,4,4
11,4,4,4
12,4,4,4
13,4,4,4
14,4,4,4
15,4,4,4
16,4,4,4
17,4,4,4
18,4,4,4
19,4,4,4
20,4,4,4
21,4,4,4
22,4,4,4
23,4,4,4
24,4,4,4
25,4,4,4
26,4,4,4
27,4,4,4
28,4,4,4
29,4,4,4
30,4,4,4
31,4,4,4
32,4,4,4
33,4,4,4
34,4,4,4
35,4,4,4
36,4,4,4
37,4,4,4
38,4,4,4
39,4,4,4
40,4,4,4
41,4,4,4
42,4,4,4
43,4,4,4
44,4,4,4
45,4,4,4
46,4,4,4
47,4,4,4
48,4,4,4
49,4,4,4
50,4,4,4
51,4,4,4
52,4,4,4
53,4,4,4
54,4,4,4
55,4,4,4
56,4,4,4
57,4,4,4
58,4,4,4
59,4,4,4
60,4,4,4
61,4,4,4
62,4,4,4
63,4,4,4
64,4,4,4
65,4,4,4
66,4,4,4
67,4,4,4
68,4,4,4
69,4,4,4
70,4,4,4
71,4,4,4
72,4,4,4
73,4,4,4
74,4,4,4
75,4,4,4
76,4,4,4
77,4,4,4
78,4,4,4
79,4,4,4
80,4,4,4
81,4,4,4
82,4,4,4
83,4,4,4
84,4,4,4
85,4,4,4
86,4,4,4
87,4,4,4
88,4,4,4
89,4,4,4
90,4,4,4
91,4,4,4
92,4,4,4
93,4,4,4
94,4,4,4
95,4,4,4
96,4,4,4
97,4,4,4
98,4,4,4
99,4,4,4
100,4,4,4
101,4,4,4
102,4,4,4
103,4,4,4
104,4,4,4
105,4,4,4
106,4,4,4
107,4,4,4
108,4,4,4
109,4,4,4
110,4,4,4
111,4,4,4
112,4,4,4
113,4,4,4
114,4,4,4
115,4,4,4
116,4,4,4
117,4,4,4
118,4,4,4
119,4,4,4
120,4,4,4
121,4,4,4
122,4,4,4
123,4,4,4
124,4,4,4
125,4,4,4
126,4,4,4
127,4,4,4
128,4,4,4
129,4,4,4
130,4,4,4
131,4,4,4
132,4,4,4
133,4,4,4
134,4,4,4
135,4,4,4
136,4,4,4
137,4,4,4
138,4,4,4
139,4,4,4
140,4,4,4
141,4,4,4
142,4,4,4
143,4,4,4
144,4,4,4
145,4,4,4
146,4,4,4
147,4,4,4
148,4,4,4
149,4,4,4
150,4,4,4
151,4,4,4
152,4,4,4
153,4,4,4
154,4,4,4
155,4,4,4
156,4,4,4
157,4,4,4
158,4,4,4
159,4,4,4
160,4,4,4
161,4,4,4
162,4,4,4
163,4,4,4
164,4,4,4
165,4,4,4
166,4,4,4
167,4,4,4
168,4,4,4
169,4,4,4
170,4,4,4
171,4,4,4
172,4,4,4
173,4,4,4
174,4,4,4
175,4,4,4
176,4,4,4
177,4,4,4
178,4,4,4
179,4,4,4
180,4,4,4
181,4,4,4
182,4,4,4
183,4,4,4
184,4,4,4
185,4,4,4
186,4,4,4
187,4,4,4
188,4,4,4
